"ITEM","UBICACIÓN","SARDINEL (ml)","NIVELACION GRASS BLOCK (m2)","GRASS BLOCK (m2)","ADOQUIN VEREDA (m2)","NIVELACION ADOQUIN (m2)","BERMA (m2)","RAMPA (m2)","RAMPA DE INGRESO PEATONAL (m2)","RAMPA VEHICULAR (m2)","CONCRETO DE VEREDA (m2)","CONCRETO EN PISTAS(m2)","ADOQUIN PISTA (m2)","ASFALTO (m2)","EMPEDRADO (ml)","FISURA (ml)","GEOTEXTIL GEOMALLA (m2)","BANCA (Und)","BOLARDO (Und)","TACHO (Und)","MALLA (ml)"
"196","Parque Elías Correa","-","-","-","-","1.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"197","Parque Federico Villarreal","-","-","-","-","57.00","-","-","-","-","-","-","-","-","3.50","-","-","-","-","-","-"
"198","Parque Francisco Gonzales Del Riego","-","-","-","-","-","192.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"199","Parque García Calderón","-","-","-","0.24","-","-","-","-","-","-","-","-","-","-","-","-","1.00","-","-","-"
"200","Parque Garcilazo de la Vega","2.00","-","-","1.40","-","-","-","-","-","104.00","-","-","-","4.00","-","-","-","-","-","-"
"201","Parque Grau","0.50","-","-","-","-","-","-","43.28","-","40.00","-","-","-","-","-","-","-","-","-","23.00"
"202","Parque Intihuatana","-","-","-","-","-","-","-","-","-","-","-","-","36.00","-","-","-","-","-","-","-"
"203","Parque Issac Rabin","","","","","","","","","","4.80","","","","","","","","","",""
"204","Parque Kennedy","-","-","-","-","49.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"205","Parque Leoncio Prado","-","-","-","-","-","-","-","-","-","10.23","-","-","-","-","-","-","-","-","-","-"
"206","Parque Letonia","1.10","","","1.28","17.00","","","","","","","","","","","","","","",""
"207","Parque Malecón de la Marina","-","-","-","-","-","-","-","-","-","19.50","-","-","-","-","-","-","-","-","-","-"
"208","Parque Melvin Jones I","209.40","-","-","196.00","-","12.60","-","-","11.50","253.09","-","-","-","-","-","-","-","-","-","-"
"209","Parque Miranda","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"210","Parque Piura","-","-","-","-","-","-","-","-","-","-","-","-","-","1.60","-","-","-","-","-","-"
"211","Parque Raimondi","220.24","","","550.90","211.40","10.00","7.00","","","30.34","","","","","","","14.00","","",""
"212","Parque Ramón Castilla","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","1.00","-","-","-"
"213","Parque Reducto","9.80","","","","102.10","","","6.15","","","","","","","","","1.00","","",""
"214","Parque Rubén Odría","-","-","-","-","-","-","-","","-","-","22.40","-","-","-","-","-","-","-","-","-"
"215","Parque Salazar","-","-","-","-","-","-","-","5.40","-","0.57","-","-","-","-","-","-","-","-","-","-"
"216","Parque Santa María","-","-","-","-","-","-","-","-","-","330.19","-","-","-","-","-","-","15.00","-","-","-"
